id_baris,aksara,transliterasi,terjemahan,
79,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris079.png,kang tan sêweng nala,kepada ia yang telah menambat hati,
80,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris080.png,nira nimas dèwi,putriku sang dewi,10
81,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris081.png,Selamine ,Seusai lamanya,
82,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris082.png,angipi sok agêng bêrangta,"bermimpi, demikian besar rasa rindunya",
83,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris083.png,tan kêna buktiya goling,makan tiada lagi berselera,
84,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris084.png,gumêrit ing tingal,terbayang-bayang di mata,
85,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris085.png,sumêlèng ing wardaya,tertancap di dalam hati,
86,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris086.png,tansah kangêning sang kepi,diliputi rindu pada sosok dalam impian,
87,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris087.png,risampunira,usai kemudian,
88,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris088.png,gênêp satahun malih,setelah genap setahun,11
89,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris089.png,Asêwapna,Ia bermimpi (kembali),
90,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris090.png,panganggih sang kepi kuna,bersua lagi dengan sosok dalam impian,
91,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris091.png,lingira sang suh dèwi,berkatalah sang dewi,
92,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris092.png,punapa pangeran,siapakah kau ini,
93,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris093.png,manusa reka iya,manusiakah atau bukan,
94,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris094.png,enage sun ulati,yang selalu kucari-cari,
95,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris095.png,kahanan tuwan,ingin tahu keberadaanmu,
96,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris096.png,sumahur ing sang kepi,berkatalah sang sosok dalam mimpi,12
